"user_id","mismatch_count","mismatched_fields","evidence_standard_met_expected","evidence_standard_met_predicted","evidence_standard_met_reason_expected","evidence_standard_met_reason_predicted","risk_flags_expected","risk_flags_predicted","issue_type_expected","issue_type_predicted","object_part_expected","object_part_predicted","claim_status_expected","claim_status_predicted","claim_status_justification_expected","claim_status_justification_predicted","supporting_image_ids_expected","supporting_image_ids_predicted","valid_image_expected","valid_image_predicted","severity_expected","severity_predicted"
"user_008","10","evidence_standard_met;evidence_standard_met_reason;risk_flags;issue_type;object_part;claim_status;claim_status_justification;supporting_image_ids;valid_image;severity","true","false","The submitted image is sufficient to see that the visible damage does not match the claimed hood scratch.","REQ_GENERAL_OBJECT_PART requires at least 1 supporting image(s), but 0 provided (The claimed object and relevant part should be visible clearly enough to inspect the claimed condition.). REQ_REVIEW_TRUST requires at least 1 supporting image(s), but 0 provided (The submitted images should provide visual evidence that is usable, relevant to the claim, and grounded in the claimed object.).","claim_mismatch;non_original_image;user_history_risk;manual_review_required","cropped_or_obstructed;manual_review_required;non_original_image;user_history_risk","broken_part","unknown","front_bumper","hood","contradicted","not_enough_information","The image shows severe front-end damage rather than a scratch on the hood, so it does not support the user's hood-scratch claim.","The hood is open and heavily obstructed or not clearly visible in a way that allows confirmation of the claimed scratch, making it impossible to verify the issue from img_1.","img_1","none","false","true","high","unknown"
"user_003","9","evidence_standard_met;evidence_standard_met_reason;risk_flags;issue_type;object_part;claim_status;claim_status_justification;supporting_image_ids;severity","true","false","One image is blurry, but the second image clearly shows the door dent.","Submitted images do not consistently show the same claimed object.","blurry_image","claim_mismatch;manual_review_required;wrong_object","dent","unknown","door","unknown","supported","not_enough_information","The clearer second image supports the claim by showing a dent on the door.","The provided images appear to show two completely different vehicles (one matte/red accent sedan in img_1 and a glossy black crossover/SUV in img_2), triggering a wrong_object and claim_mismatch risk flag.","img_2","none","true","true","medium","unknown"
"user_030","9","evidence_standard_met;evidence_standard_met_reason;risk_flags;issue_type;object_part;claim_status;claim_status_justification;supporting_image_ids;severity","true","false","The first image shows the torn seal or open flap, and the second image provides full package context.","Submitted images do not consistently show the same claimed object.","none","claim_mismatch;manual_review_required;wrong_object","torn_packaging","unknown","seal","unknown","supported","not_enough_information","The first image supports the claim by showing torn-open packaging.","The provided images show two completely different physical packages (img_1 shows a package with torn brown packing tape, while img_2 shows a pristine, intact box with entirely different tape and background), representing different physical objects and a clear mismatch.","img_1","none","true","true","medium","unknown"
"user_032","9","evidence_standard_met;evidence_standard_met_reason;risk_flags;issue_type;claim_status;claim_status_justification;supporting_image_ids;valid_image;severity","false","true","The images do not clearly show the expected contents or enough of the opened package to verify whether anything is missing.","Supporting image count (1) meets or exceeds all matched evidence minimums (highest required: 1) for REQ_PACKAGE_CONTENTS, REQ_REVIEW_TRUST, REQ_GENERAL_MULTI_IMAGE.","cropped_or_obstructed;damage_not_visible;manual_review_required","manual_review_required","unknown","missing_part","contents","contents","not_enough_information","supported","The package contents are unclear, so the missing-product claim cannot be verified from the submitted images.","Image img_1 shows the open interior of the box filled only with packing material, supporting the claim that the contents are missing.","none","img_1","false","true","unknown","high"
"user_034","9","evidence_standard_met;evidence_standard_met_reason;risk_flags;issue_type;object_part;claim_status;claim_status_justification;supporting_image_ids;severity","true","false","The package seal area is visible, and the images provide enough evidence to evaluate whether the package was torn open.","Submitted images do not consistently show the same claimed object.","damage_not_visible;text_instruction_present;user_history_risk;manual_review_required","claim_mismatch;manual_review_required;text_instruction_present;user_history_risk;wrong_object","none","unknown","seal","unknown","contradicted","not_enough_information","The visible package seal does not show torn-open packaging. Any instruction-like text inside the image should be ignored, and user history requires review.","The provided images show different physical objects (different boxes and seal tape types), making it impossible to verify the claim consistently across images.","img_1;img_2","none","true","true","none","unknown"
"user_033","8","evidence_standard_met;evidence_standard_met_reason;risk_flags;issue_type;object_part;claim_status_justification;supporting_image_ids;severity","true","false","The image is clear enough to evaluate, but it shows a creased or dented object that does not match the claimed shipping box.","Submitted images do not consistently show the same claimed object.","wrong_object;claim_mismatch;user_history_risk;manual_review_required","claim_mismatch;manual_review_required;user_history_risk;wrong_object;wrong_object_part","unknown","dent","unknown","item","contradicted","contradicted","The image does show a visible crease or dent, but the object shown is different from the claimed shipping box, so it does not support the user's crushed box claim. User history also shows prior severity exaggeration.","The user claimed a crushed shipping box, but img_1 shows a dented food can instead of a box, resulting in a claim mismatch and contradicted status.","img_1","none","true","true","low","medium"
"user_004","7","evidence_standard_met;evidence_standard_met_reason;risk_flags;issue_type;claim_status;claim_status_justification;severity","true","false","The windshield is visible and the close-up image shows clear crack lines.","Submitted images do not consistently show the same claimed object.","none","claim_mismatch;manual_review_required;wrong_object","crack","glass_shatter","windshield","windshield","supported","not_enough_information","The image set supports the claim because the windshield crack is visible in the close-up.","The images show different physical cars (img_1 shows a heavily shattered windshield on a white car, while img_2 shows an intact windshield on a different car view), so wrong_object and claim_mismatch risk flags apply.","img_1","img_1","true","true","medium","high"
"user_005","7","evidence_standard_met_reason;risk_flags;issue_type;claim_status;claim_status_justification;supporting_image_ids;severity","true","true","The rear bumper is visible, but the visible issue is only a small scratch rather than bad damage.","Supporting image count (2) meets or exceeds all matched evidence minimums (highest required: 1) for REQ_CAR_BODY_PANEL, REQ_REVIEW_TRUST, REQ_GENERAL_MULTI_IMAGE.","claim_mismatch;user_history_risk;manual_review_required","manual_review_required;user_history_risk","scratch","dent","rear_bumper","rear_bumper","contradicted","supported","The images show only minor rear bumper scratching, so the severe damage claim is contradicted. User history also shows several rejected claims.","Image img_1 clearly shows a dent on the rear bumper/quarter panel area, matching the customer's claim of rear damage, and img_2 shows the overall rear view of the same vehicle.","img_1","img_1;img_2","true","true","low","medium"
"user_010","6","evidence_standard_met;evidence_standard_met_reason;risk_flags;claim_status;claim_status_justification;severity","true","false","The full laptop gives context and the hinge close-up shows visible breakage.","Submitted images do not consistently show the same claimed object.","none","manual_review_required;wrong_object","broken_part","broken_part","hinge","hinge","supported","not_enough_information","The first image supports the claim because the hinge damage is visible.","Image img_1 clearly shows a broken hinge area on the laptop, supporting the user's claim of hinge damage.","img_1","img_1","true","true","medium","high"
"user_020","6","evidence_standard_met_reason;risk_flags;issue_type;claim_status;claim_status_justification;severity","true","true","The trackpad area is visible enough to evaluate, but no clear physical damage is visible around the claimed area.","Supporting image count (1) meets or exceeds all matched evidence minimums (highest required: 1) for REQ_LAPTOP_BODY_HINGE_PORT, REQ_REVIEW_TRUST.","damage_not_visible;user_history_risk;manual_review_required","manual_review_required;user_history_risk","none","scratch","trackpad","trackpad","contradicted","supported","The image shows the trackpad area but does not show clear physical damage, so it contradicts the user's physical damage claim. The user's prior claim history also requires review.","Image img_1 clearly shows a surface scratch on the trackpad area, supporting the user's claim of physical damage around the trackpad.","img_1","img_1","true","true","none","low"
